tiempo,braquial,tibial
208550,2.358064,2.225806
208570,2.36129,2.219355
208590,2.348387,2.222581
208610,2.364516,2.209677
208630,2.341935,2.196774
208650,2.33871,2.2
208670,2.335484,2.203226
208690,2.309677,2.219355
208710,2.312903,2.209677
208730,2.325806,2.193548
208750,2.345161,2.148387
208770,2.364516,2.106452
208790,2.393548,2.077419
208810,2.393548,2.080645
208850,2.390323,2.087097
208870,2.383871,2.125806
208890,2.377419,2.167742
208910,2.309677,2.164516
208930,2.3,2.177419
208950,2.3,2.187097
208970,2.3,2.164516
208990,2.293548,2.13871
209010,2.296774,2.109677
209030,2.296774,2.083871
209050,2.296774,2.054839
209070,2.312903,2.058064
209090,2.312903,2.048387
209110,2.312903,2.054839
209130,2.306452,2.054839
209150,2.3,2.06129
209170,2.3,2.067742
209190,2.3,2.067742
209210,2.296774,2.064516
209230,2.3,2.058064
209250,2.293548,2.054839
209270,2.354839,2.090322
209290,2.348387,2.093548
209310,2.348387,2.090322
209330,2.354839,2.083871
209350,2.329032,2.1
209370,2.319355,2.093548
209390,2.367742,2.096774
209410,2.316129,2.06129
209430,2.3,2.048387
209450,2.306452,2.051613
209470,2.309677,2.067742
209490,2.316129,2.06129
209510,2.329032,2.054839
209530,2.33871,2.035484
209570,2.364516,2.009677
209590,2.387097,1.983871
209610,2.412903,1.980645
209630,2.393548,1.948387
209650,2.335484,1.970968
209670,2.325806,2.032258
209690,2.319355,2.070968
209710,2.319355,2.093548
209730,2.329032,2.122581
209750,2.329032,2.135484
209770,2.319355,2.135484
209790,2.335484,2.129032
209810,2.309677,2.093548
209830,2.306452,2.064516
209850,2.303226,2.025806
209870,2.296774,1.983871
209890,2.287097,1.96129
209910,2.287097,1.974194
209930,2.290323,2.019355
209950,2.293548,2.070968
209971,2.287097,2.125806
209990,2.341935,2.196774
210010,2.332258,2.206452
210030,2.322581,2.193548
210050,2.319355,2.174194
210070,2.329032,2.13871
210090,2.293548,2.106452
210110,2.290323,2.1
210130,2.251613,2.112903
210150,2.258065,2.106452
210170,2.277419,2.132258
210190,2.251613,2.116129
210210,2.254839,2.103226
210230,2.254839,2.1
210250,2.254839,2.103226
210270,2.26129,2.119355
210310,2.270968,2.125806
210330,2.293548,2.116129
210350,2.319355,2.080645
210370,2.277419,2
210390,2.3,1.980645
210410,2.293548,1.983871
210430,2.303226,2.009677
210450,2.319355,2.051613
210470,2.309677,2.103226
210490,2.316129,2.141935
210510,2.319355,2.158064
210530,2.309677,2.16129
210550,2.316129,2.16129
210570,2.309677,2.141935
210590,2.306452,2.119355
210610,2.316129,2.096774
210630,2.303226,2.070968
210650,2.303226,2.054839
210670,2.306452,2.041935
210690,2.316129,2.03871
210710,2.312903,2.083871
210730,2.370968,2.090322
210750,2.370968,2.083871
210770,2.367742,2.093548
210790,2.358064,2.090322
210810,2.348387,2.070968
210830,2.33871,2.064516
210850,2.335484,2.064516
210870,2.322581,2.064516
210890,2.312903,2.064516
210910,2.312903,2.064516
210930,2.312903,2.058064
210950,2.316129,2.058064
210970,2.322581,2.064516
210990,2.316129,2.070968
211030,2.316129,2.077419
211050,2.325806,2.074193
211070,2.348387,2.048387
211090,2.309677,1.990323
211110,2.335484,1.964516
211130,2.345161,1.958064
211150,2.358064,1.967742
211170,2.358064,2.016129
211190,2.358064,2.03871
211210,2.348387,2.119355
211230,2.358064,2.129032
211250,2.364516,2.170968
211270,2.335484,2.164516
211290,2.345161,2.154839
211310,2.335484,2.135484
211330,2.329032,2.119355
211350,2.325806,2.090322
211370,2.319355,2.067742
211390,2.319355,2.048387
211410,2.316129,2.048387
211430,2.325806,2.06129
211450,2.387097,2.122581
211470,2.370968,2.129032
211490,2.36129,2.148387
211510,2.354839,2.135484
211530,2.335484,2.116129
211550,2.316129,2.087097
211570,2.303226,2.090322
211590,2.306452,2.06129
211610,2.296774,2.058064
211630,2.290323,2.058064
211650,2.290323,2.054839
211670,2.290323,2.054839
211690,2.287097,2.054839
211710,2.287097,2.058064
211750,2.287097,2.067742
211770,2.290323,2.074193
211790,2.306452,2.064516
211810,2.325806,1.993548
211830,2.290323,1.967742
211850,2.316129,1.93871
211870,2.325806,1.93871
211890,2.325806,1.967742
211910,2.332258,2.022581
211930,2.332258,2.070968
211950,2.312903,2.122581
